ro.build.id,ro.build.display.id,ro.product.name,ro.product.device,ro.product.board,ro.product.manufacturer,ro.product.brand,ro.product.model,ro.bootloader,ro.hardware,ro.build.type,ro.build.tags,ro.build.fingerprint,ro.build.user,ro.build.host,ro.build.version.incremental,ro.build.version.release,ro.build.version.sdk,ro.build.version.codename,screen.height,screen.width,screen.density,screen.xdpi,screen.ydpi,screen.dpi,screen.scaledDensity
PPR1.180610.011,PPR1.180610.011.G950FXXS6DSL2,dreamltexx,dreamlte,universal8895,samsung,samsung,SM-G950F,G950FXXS6DSL2,samsungexynos8895,user,release-keys,samsung/dreamltexx/dreamlte:9/PPR1.180610.011/G950FXXS6DSL2:user/release-keys,dpi,SWDH2519,G950FXXS6DSL2,9,28,REL,2076,1080,3.00,422.0302,423.9698,480,3.00
RKQ1.210420.001,RKQ1.210420.001,mdh15lm_f,mdh15lm,mt6765,LGE,lge,LM-K410,unknown,mdh15lm,user,release-keys,lge/mdh15lm_f/mdh15lm:11/RKQ1.210420.001/222371006a5f6:user/release-keys,jenkins,si-ch1-bld118,222371006a5f6,11,30,REL,1449,720,1.75,268.9410,269.1390,280,1.57
QKQ1.190828.002,QKQ1.190828.002 test-keys,beryllium,beryllium,sdm845,Xiaomi,Xiaomi,POCO F1,unknown,qcom,user,release-keys,Xiaomi/beryllium/beryllium:10/QKQ1.190828.002/V12.0.3.0.QEJMIXM:user/release-keys,builder,c4-miui-ota-bd48.bj,V12.0.3.0.QEJMIXM,10,29,REL,2027,1080,2.75,403.4110,419.4730,440,3.44
RP1A.200720.011,RP1A.200720.011,lancelot_global,lancelot,lancelot,Xiaomi,Redmi,M2004J19C,unknown,mt6768,user,release-keys,Redmi/lancelot_global/lancelot:11/RP1A.200720.011/V12.5.6.0.RJCMIXM:user/release-keys,builder,m1-xm-ota-bd014.bj.idc.xiaomi.com,V12.5.6.0.RJCMIXM,11,30,REL,2134,1080,2.75,394.7160,394.7160,440,2.53
RKQ1.201004.002,00WW_2_290_SP02,CaptainAmerica_00WW,CAP_sprout,SM6125,HMD Global,Nokia,Nokia 5.3,unknown,qcom,user,release-keys,Nokia/CaptainAmerica_00WW/CAP_sprout:11/RKQ1.201004.002/00WW_2_29C:user/release-keys,ci,Cocoon_192-168-40-32_19163_docker,00WW_2_290_SP02,11,30,REL,1517,720,1.75,261.2570,269.1390,280,1.75
HUAWEISTK-L21,STK-L21M 10.0.0.274(C185E3R6P1),STK-L21M,HWSTK-HF,STK-L21M,HUAWEI,HUAWEI,STK-L21,unknown,kirin710,user,release-keys,HUAWEI/STK-L21M/HWSTK-HF:10/HUAWEISTK-L21/10.0.0.274C185:user/release-keys,test,cn-central-1b-ea69152e91596071562952-3077798529-s3v8n,10.0.0.274C185,10,29,REL,2224,1080,3.00,391.8850,391.0260,480,3.00
SP1A.210812.003,SP1A.210812.003 release-keys,2020,2120,k65v1_32_bsp_2g_ago,vivo,vivo,V2120,unknown,mt6765,user,release-keys,vivo/2020/2120:12/SP1A.210812.003/compiler07051517:user/release-keys,compiler,comsz01110059,compiler07051517,12,31,REL,1475,720,1.88,269.2100,269.2100,300,1.88
SP1A.210812.016,CPH2201_11_C.27,CPH2201,OP4F1FL1,k6889v1_64,OPPO,OPPO,CPH2201,unknown,mt6889,user,release-keys,OPPO/CPH2201/OP4F1FL1:12/SP1A.210812.016/R.202207282035:user/release-keys,root,dg02-pool03-kvm26,R.202207282035,12,31,REL,2161,1080,3.00,409.4320,409.1270,480,3.00
QKQ1.191014.001,QKQ1.191014.001 test-keys,olive,olive,QC_Reference_Phone,Xiaomi,Xiaomi,Redmi 8,unknown,qcom,user,release-keys,Xiaomi/olive/olive:10/QKQ1.191014.001/V12.5.3.0.QCNMIXM:user/release-keys,builder,c5-miui-ota-bd170.bj,V12.5.3.0.QCNMIXM,10,29,REL,1369,720,2.00,268.9410,269.9860,320,2.00
HUAWEISTK-L21,STK-L21M 10.0.0.274(C185E3R6P1),STK-L21M,HWSTK-HF,STK-L21M,HUAWEI,HUAWEI,STK-L21,unknown,kirin710,user,release-keys,HUAWEI/STK-L21M/HWSTK-HF:10/HUAWEISTK-L21/10.0.0.274C185:user/release-keys,test,cn-central-1b-ea69152e91596071562952-3077798529-s3v8n,10.0.0.274C185,10,29,REL,2224,1080,3.00,391.8850,391.0260,480,3.90
